uni,city,zip,latitude,longitude,admission,act,sat,under,cost,debt
Simmons College,Boston,02115-5898,42.3393,-71.099967,0.521630408,26,1170,1598,52348,25000
Saint Louis University,Saint Louis,63103-2097,38.636516,-90.23343,0.610830173,28,1239,7822,52310,21500
Fairleigh Dickinson University-College at Florham,Madison,7940,40.777364,-74.435359,0.804105862,24,993,2359,52258,18750
Hampden-Sydney College,Hampden-Sydney,23943-0128,37.242482,-78.461371,0.472657323,24,1098,1105,52016,21000
Cleveland Institute of Art,Cleveland,44106-1710,41.50988,-81.602121,0.66993007,23,1048,551,51934,27000
Allegheny College,Meadville,16335-3902,41.648068,-80.146922,0.717656209,26,1170,1968,51883,27000
St Olaf College,Northfield,55057-1098,44.462884,-93.183633,0.512820513,29,1292,2990,51860,25304
Widener University-Main Campus,Chester,19013-5792,39.86158,-75.356718,0.650063625,22,1023,3144,51753,21250
Eckerd College,Saint Petersburg,33711-4700,27.718996,-82.685992,0.727377855,26,1153,2062,51708,21500
Illinois Institute of Technology,Chicago,60616,41.833801,-87.628346,0.506041023,28,1266,3046,51572,23250
St John's University-New York,Queens,11439,40.721979,-73.795301,0.625221427,25,1107,10878,51420,19500
Florida Institute of Technology,Melbourne,32901-6975,28.064503,-80.624628,0.615653797,27,1176,3348,51312,9375
Kettering University,Flint,48504-6214,43.013112,-83.714356,0.716446125,27,1223,1689,51277,24000
Hofstra University,Hempstead,11549,40.715959,-73.60078,0.616113385,26,1147,6803,51214,17500
Ohio Northern University,Ada,45810-1599,40.766144,-83.830729,0.68594546,26,1180,2234,50960,26250
Arcadia University,Glenside,19038-3295,40.091941,-75.165205,0.58802159,25,1105,2482,50832,20500
Kalamazoo College,Kalamazoo,49006-3295,42.290382,-85.601317,0.696534235,28,1239,1431,50800,21499.5
Savannah College of Art and Design,Savannah,31402-3146,32.072966,-81.093905,0.665515753,24,1081,8846,50774,21500
Elmira College,Elmira,14901,42.092724,-76.811333,0.822077922,24,1073,1318,50722,21804
Roanoke College,Salem,24153-3794,37.29686,-80.056433,0.693200663,23,1087,1986,50487,22904
Pacific University,Forest Grove,97116,45.521394,-123.108777,0.804502814,24,1090,1802,50486,20500
University of the Sciences,Philadelphia,19104-4495,39.946552,-75.208241,0.57883672,26,1169,1626,50483,26994.5
Texas Christian University,Fort Worth,76129,32.709568,-97.361537,0.488695754,27,1207,8600,50440,19500
California Lutheran University,Thousand Oaks,91360-2787,34.225551,-118.879467,0.609707242,25,1109,2799,50425,19000
School of Visual Arts,New York,10010,40.738742,-73.98224,0.767706208,21,1029,3577,50407,23250
Rider University,Lawrenceville,08648-3099,40.283122,-74.742822,0.709054025,22,1026,4188,50389,20750
Whittier College,Whittier,90601,33.977625,-118.028402,0.618762887,23,1061,1624,50361,21000
Illinois Wesleyan University,Bloomington,61702-2900,40.491522,-88.990622,0.604318646,28,1249,1883,50324,25250
College of Saint Benedict,Saint Joseph,56374,45.558609,-94.31902,0.821832579,26,1179,2020,49920,23250
